index,success,reason,run_num,regression
1,1,,1,1
2,1,,1,1
3,1,,2,1
4,1,,2,1
5,1,,3,1
6,1,,3,1
7,1,,4,1
8,1,,4,1
9,1,,5,1
10,1,,5,1
11,1,,6,1
12,1,,6,1
13,1,,7,1
14,1,,7,1
15,1,,8,0
16,1,,8,0
17,1,,9,0
18,1,,9,0
19,1,,10,1
20,1,,10,1
21,1,,11,1
22,1,,11,1
23,1,,12,1
24,1,,12,1
25,1,,13,1
26,1,,13,1
27,1,,14,1
28,1,,14,1
29,1,,15,1
30,1,,15,1
31,1,,16,1
32,1,,16,1
33,1,,17,1
34,1,,17,1
35,1,,18,1
36,1,,18,1
37,1,,19,1
38,1,,19,0
39,0,slip,20,0
40,1,,20,0
41,1,,21,1
42,1,,21,1
43,1,,22,0
44,1,,22,0
45,1,,23,1
46,1,,23,1
47,1,,24,1
48,1,,24,1
49,1,,25,1
50,1,,25,1
51,1,,26,1
52,1,,26,1
53,0,no manip,27,0
54,0,no manip,27,0
55,1,,28,1
56,1,,28,-1
57,1,,29,1
58,1,,29,1
59,1,,30,1
60,1,,30,1
61,1,,31,1
62,1,,31,1
63,1,,32,-1
64,1,,32,0
65,1,,33,1
66,1,,33,1
67,1,,34,1
68,1,,34,1
69,1,,35,1
70,1,,35,1
71,1,,36,1
72,1,,36,0
73,1,,37,0
74,1,,37,1
75,1,,38,0
76,1,,38,0
77,1,,39,0
78,1,,39,1
79,1,,40,-1
80,1,,40,0
81,1,,41,1
82,1,,41,1
83,1,,42,0
84,1,,42,0
85,1,,43,1
86,1,,43,1
87,1,,44,0
88,1,,44,0
89,1,,45,1
90,1,,45,1
91,1,,46,1
92,1,,46,1
93,1,,47,0
94,1,,47,0
95,1,,48,1
96,1,,48,1
97,1,,49,1
98,1,,49,1
99,1,,50,1
100,1,,50,0
101,1,,51,1
102,1,,51,0
103,1,,52,1
104,1,,52,0
105,1,,53,1
106,1,,53,1
107,1,,54,1
108,1,,54,1
109,1,,55,1
110,1,,55,-1
111,1,,56,1
112,1,,56,0
113,1,,57,0
114,1,,57,0
115,1,,58,1
116,1,,58,0
117,1,,59,1
118,1,,59,1
119,1,,60,1
120,1,,60,0
121,1,,61,1
122,1,,61,1
123,1,,62,1
124,1,,62,1
125,1,,63,1
126,1,,63,1
127,1,,64,1
128,1,,64,1
129,1,,65,1
130,1,,65,1
131,1,,66,1
132,1,,66,1
133,1,,67,1
134,1,,67,1
135,1,,68,1
136,1,,68,1
137,1,,69,1
138,1,,69,1
139,1,,70,1
140,1,,70,1
141,1,,71,1
142,1,,71,1
143,1,,72,1
144,1,,72,1
145,1,,73,1
146,1,,73,1
147,1,,74,1
148,1,,74,1
149,1,,75,1
150,1,,75,-1
151,1,,76,1
152,1,,76,1
153,1,,77,1
154,1,,77,1
155,1,,78,1
156,1,,78,1
157,1,,79,1
158,1,,79,1
159,1,,80,1
160,1,,80,1
161,1,,81,-1
162,1,,81,-1
163,1,,82,1
164,1,,82,-1
165,1,,83,1
166,1,,83,1
167,1,,84,1
168,1,,84,1
169,1,,85,1
170,1,,85,1
171,1,,86,1
172,1,,86,1
173,1,,87,1
174,1,,87,1
175,1,,88,1
176,1,,88,1
177,1,,89,1
178,1,,89,1
179,1,,90,1
180,1,,90,1
181,1,,91,1
182,1,,91,1
183,1,,92,1
184,1,,92,1
185,1,,93,1
186,1,,93,-1
187,1,,94,-1
188,1,,94,1
189,1,,95,0
190,1,,95,0
191,1,,96,1
192,1,,96,1
193,1,,97,1
194,1,,97,1
195,1,,98,1
196,1,,98,1
197,1,,99,1
198,1,,99,-1
199,1,,100,1
200,1,,100,1
201,1,,101,1
202,1,,101,1
203,1,,102,1
204,1,,102,1
205,1,,103,1
206,1,,103,1
207,1,,104,1
208,1,,104,1
209,1,,105,1
210,1,,105,1
211,1,,106,1
212,1,,106,1
213,1,,107,1
214,1,,107,1
215,1,,108,1
216,1,,108,1
217,1,,109,1
218,1,,109,1
219,1,,110,1
220,1,,110,1
221,1,,111,1
222,1,,111,1
223,1,,112,1
224,1,,112,1
225,1,,113,1
226,1,,113,1
227,1,,114,1
228,1,,114,1
229,1,,115,1
